"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"PK02_04";"PK02_01";"PK02_05";"PK02_02";"PK02_03";"WS01";"WS01_01";"WS01_02";"WS01_03";"WS01_04";"WS01_05";"WS01_06";"WS01_07";"WS01_08";"WS01_09";"WS01_10";"WS01_10a";"WS02_01";"TIME001";"TIME002";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
21;;;"base";"interview";2023-02-03 11:43:22;2;1;7;6;6;1;1;1;1;1;1;1;1;1;1;2;"Programming";;3;692;116;;2023-02-03 11:54:57;1;0;2;2;13;2;1,16;29
22;;;"base";"interview";2023-02-03 11:45:43;4;2;1;1;1;3;2;2;1;1;2;1;1;1;1;1;;;7;97;104;;2023-02-03 11:47:27;1;0;2;2;14;3;1,04;4
24;;;"base";"interview";2023-02-03 11:52:55;2;3;2;4;7;3;2;1;1;1;2;2;1;1;1;1;;;5;114;119;;2023-02-03 11:54:54;1;0;2;2;14;3;1,14;8
25;;;"base";"interview";2023-02-03 12:05:09;5;5;1;6;6;3;1;1;1;2;1;1;1;2;2;1;;;6;3617;119;;2023-02-03 13:05:32;1;0;2;2;14;3;0,56;2
26;;;"base";"interview";2023-02-03 12:35:16;5;2;1;1;1;3;1;1;1;2;2;1;1;1;2;1;;;16;105;121;;2023-02-03 12:37:17;1;0;2;2;14;3;0,74;2
27;;;"base";"interview";2023-02-03 12:51:42;5;4;4;3;3;3;2;1;2;1;2;1;1;1;1;1;;;7;98;105;;2023-02-03 12:53:27;1;0;2;2;14;3;1,04;4
28;;;"base";"interview";2023-02-03 13:02:46;6;5;2;4;2;3;2;2;1;1;1;1;1;2;1;1;;;3;61;64;;2023-02-03 13:03:50;1;0;2;2;14;3;2,01;50
30;;;"base";"interview";2023-02-03 13:53:20;5;3;3;2;2;3;1;2;2;2;1;1;1;1;1;1;;;13;221;234;;2023-02-03 13:57:14;1;0;2;2;14;3;0,5;0
31;;;"base";"interview";2023-02-03 14:20:08;5;4;4;5;5;3;1;1;2;1;1;1;1;2;2;1;;"None";19;173;192;;2023-02-03 14:23:20;1;0;2;2;0;0;0,5;0
32;;;"base";"interview";2023-02-03 15:08:13;2;1;2;4;5;3;1;2;2;1;1;1;1;1;2;1;;;6;107;113;;2023-02-03 15:10:06;1;0;2;2;14;3;1,07;3
34;;;"base";"interview";2023-02-03 20:36:16;5;4;4;4;4;3;2;1;1;1;2;1;1;2;1;1;;;3;111;114;;2023-02-03 20:38:10;1;0;2;2;14;3;1,59;30
35;;;"base";"interview";2023-02-04 18:21:22;5;5;3;1;1;3;2;1;1;2;2;1;1;1;1;1;;"I would like to know how to program with python and R";43;369;376;;2023-02-04 18:28:15;1;0;2;2;0;0;0,23;0
