Token;POS;n
,;$,;22924
.;$.;8095
und;KON;6179
die;ART;4192
der;ART;3889
den;ART;3068
ich;PPER;2549
in;APPR;2233
mit;APPR;2080
sich;PRF;1907
nicht;PTKNEG;1901
dem;ART;1837
auf;APPR;1685
zu;PTKZU;1373
er;PPER;1369
das;ART;1366
sie;PPER;1313
es;PPER;1283
:;$.;1276
mir;PPER;1244
war;VAFIN;1190
ein;ART;1146
hatte;VAFIN;1077
von;APPR;1049
die;PRELS;1025
auch;ADV;998
–;$(;963
Oskar;NE;958
im;APPRART;948
mich;PPER;941
noch;ADV;933
des;ART;900
an;APPR;803
daß;KOUS;792
der;PRELS;789
eine;ART;713
einen;ART;706
zu;APPR;686
nach;APPR;677
aus;APPR;620
»;$(;606
so;ADV;579
oder;KON;552
!;$.;538
nur;ADV;526
?;$.;524
für;APPR;524
immer;ADV;504
wenn;KOUS;489
zum;APPRART;473
vor;APPR;468
ließ;VVFIN;462
wir;PPER;461
";";$.;458
man;PIS;454
meine;PPOSAT;452
Ich;PPER;446
als;APPR;435
ihn;PPER;434
Die;ART;433
wollte;VMFIN;433
schon;ADV;432
Matzerath;NE;422
über;APPR;420
«;$.;414
dann;ADV;413
aber;ADV;412
Maria;NE;403
einem;ART;402
bei;APPR;397
Sie;PPER;397
ihm;PPER;396
«;$(;392
wie;PWAV;391
wieder;ADV;385
seine;PPOSAT;379
wie;KOKOM;361
meiner;PPOSAT;360
einer;ART;351
gab;VVFIN;349
wurde;VAFIN;349
Mama;NN;348
als;KOUS;346
unter;APPR;343
weil;KOUS;341
mehr;ADV;336
am;APPRART;335
ist;VAFIN;331
konnte;VMFIN;329
Es;PPER;309
vom;APPRART;309
uns;PPER;306
hätte;VAFIN;303
Jan;NE;303
Trommel;NN;300
das;PDS;298
da;ADV;294
denn;KON;288
mein;PPOSAT;286
zur;APPRART;279
zwischen;APPR;279
hinter;APPR;276
an;PTKVZ;274
Der;ART;264
als;KOKOM;260
seinen;PPOSAT;260
auf;PTKVZ;257
