Token;POS;n
,;$,;8641
.;$.;4942
und;KON;2941
die;ART;2000
ich;PPER;1443
der;ART;1322
den;ART;1193
in;APPR;1068
nicht;PTKNEG;910
mit;APPR;822
auf;APPR;754
er;PPER;745
es;PPER;679
ist;VAFIN;671
Ich;PPER;658
sich;PRF;641
sie;PPER;637
das;ART;624
dem;ART;621
ein;ART;561
:;$.;537
?;$.;512
!;$.;502
an;APPR;402
eine;ART;400
von;APPR;399
so;ADV;391
mir;PPER;378
im;APPRART;365
du;PPER;346
zu;PTKZU;332
dass;KOUS;328
war;VAFIN;304
aus;APPR;295
Die;ART;294
einen;ART;293
–;$(;284
hat;VAFIN;284
wir;PPER;278
zu;APPR;278
für;APPR;273
über;APPR;266
nach;APPR;265
mich;PPER;253
habe;VAFIN;251
sagt;VVFIN;248
das;PDS;244
gibt;VVFIN;244
Sie;PPER;236
man;PIS;227
noch;ADV;227
die;PRELS;222
wie;KOKOM;219
wie;PWAV;216
auch;ADV;215
sind;VAFIN;209
Vater;NN;200
wenn;KOUS;199
meine;PPOSAT;198
uns;PPER;196
einem;ART;193
nur;ADV;187
vor;APPR;183
hatte;VAFIN;181
als;KOKOM;180
Der;ART;180
Opa;NN;180
am;APPRART;177
Mutter;NN;177
ihn;PPER;176
Er;PPER;168
seine;PPOSAT;164
auf;PTKVZ;162
mein;PPOSAT;162
was;PWS;162
weil;KOUS;161
aber;KON;159
an;PTKVZ;153
aus;PTKVZ;152
der;PRELS;151
oder;KON;150
ihm;PPER;149
mehr;ADV;147
wird;VAFIN;146
Es;PPER;145
einer;ART;143
immer;ADV;141
sagte;VVFIN;141
jetzt;ADV;140
keine;PIAT;140
nichts;PIS;136
«;$(;135
kann;VMFIN;133
zum;APPRART;133
unter;APPR;131
dann;ADV;130
alles;PIS;124
bin;VAFIN;121
bei;APPR;120
wieder;ADV;119
»;$(;117
aber;ADV;117
haben;VAFIN;116
Oma;NN;115
zwei;CARD;113
da;ADV;110
ohne;APPR;109
Und;KON;108
Zoran;NE;108
hier;ADV;107
des;ART;106
Kopf;NN;106
als;KOUS;105
Das;ART;104
sein;PPOSAT;103
seinen;PPOSAT;101
um;APPR;101
durch;APPR;100
sein;VAINF;100
Edin;NE;99
mich;PRF;97
ab;PTKVZ;96
Onkel;NN;96
ihre;PPOSAT;95
Miki;NE;95
Asija;NE;94
…;$(;93
ihr;PPER;92
will;VMFIN;92
als;APPR;90
dir;PPER;90
doch;ADV;90
Haar;NN;89
Mann;NN;89
Hand;NN;88
Mal;NN;88
seinem;PPOSAT;88
schon;ADV;87
kein;PIAT;86
wurde;VAFIN;86
Čika;NE;85
gut;ADJD;85
Augen;NN;84
meiner;PPOSAT;84
seiner;PPOSAT;84
In;APPR;83
mal;ADV;83
Aleksandar;NE;82
um;KOUI;82
gegen;APPR;80
Soldaten;NN;80
Stadt;NN;79
Drina;NE;77
ersten;ADJA;77
nie;ADV;77
vom;APPRART;77
würde;VAFIN;77
Tag;NN;75
weiß;VVFIN;75
Ein;ART;74
Wir;PPER;73
Du;PPER;69
Haus;NN;69
muss;VMFIN;69
zurück;PTKVZ;69
hinter;APPR;68
Slavko;NE;68
ein;PTKVZ;67
meinen;PPOSAT;67
alle;PIAT;66
einmal;ADV;66
Fluss;NN;66
Frau;NN;66
Kiko;NE;66
sage;VVFIN;65
sehr;ADV;65
Wie;PWAV;65
etwas;PIS;64
Hände;NN;64
hätte;VAFIN;64
Višegrad;NE;64
wo;PWAV;64
Zeit;NN;64
Ball;NN;62
Gesicht;NN;62
zu;PTKVZ;62
»;$.;61
Francesco;NE;61
sei;VAFIN;61
Das;PDS;60
gab;VVFIN;60
Herr;NN;60
ihr;PPOSAT;60
";";$.;59
hast;VAFIN;59
Im;APPRART;59
meinem;PPOSAT;59
Nena;NE;59
sieht;VVFIN;59
Was;PWS;59
Bora;NE;58
Meine;PPOSAT;58
Namen;NN;58
niemand;PIS;58
sah;VVFIN;58
Wenn;KOUS;58
ganz;ADV;57
konnte;VMFIN;57
Straße;NN;57
wollte;VMFIN;57
alle;PIS;56
waren;VAFIN;56
Wasser;NN;56
das;PRELS;55
ja;ADV;55
Leben;NN;55
zur;APPRART;55
zwischen;APPR;55
Stimme;NN;54
fragt;VVFIN;53
gar;ADV;52
geht;VVFIN;52
ob;KOUS;52
Walross;NE;52
was;PRELS;52
Auf;APPR;51
drei;CARD;51
ihren;PPOSAT;51
Mit;APPR;51
Tito;NE;51
gesagt;VVPP;50
ins;APPRART;50
kommt;VVFIN;50
Meho;NE;50
So;ADV;50
Tisch;NN;50
unsere;PPOSAT;50
Boden;NN;49
dem;PRELS;49
Mein;PPOSAT;49
soll;VMFIN;49
steht;VVFIN;49
zu;PTKA;49
gleich;ADV;48
kam;VVFIN;48
Mund;NN;48
sehen;VVINF;48
vor;PTKVZ;48
«;$.;47
bist;VAFIN;47
heute;ADV;47
Milica;NE;47
werde;VAFIN;47
anderen;ADJA;46
Brücke;NN;46
dich;PPER;46
Fenster;NN;46
Rücken;NN;46
haben;VAINF;45
Mikimaus;NE;45
rief;VVFIN;45
Soldat;NN;45
Tür;NN;45
wäre;VAFIN;45
jeden;PIAT;44
Keller;NN;44
selbst;ADV;44
werden;VAINF;44
ihnen;PPER;43
kleinen;ADJA;43
können;VMFIN;43
Krieg;NN;43
uns;PRF;43
Abend;NN;42
bis;APPR;42
damit;KOUS;41
fragte;VVFIN;41
Hasan;NE;41
Katarina;NE;41
Stirn;NN;41
Blut;NN;40
Brot;NN;40
etwas;ADV;40
sagen;VVINF;40
Schule;NN;40
sofort;ADV;40
gemacht;VVPP;39
jemand;PIS;39
macht;VVFIN;39
Männer;NN;39
Tante;NN;39
vielleicht;ADV;39
wissen;VVINF;39
zieht;VVFIN;39
bevor;KOUS;38
eigentlich;ADV;38
Finger;NN;38
frage;VVFIN;38
ganze;ADJA;38
großen;ADJA;38
letzten;ADJA;38
sehe;VVFIN;38
Ur-Oma;NN;38
dich;PRF;37
Händen;NN;37
hasse;VVFIN;37
Kaffee;NN;37
keinen;PIAT;37
wirklich;ADJD;37
Auch;ADV;36
dein;PPOSAT;36
Nacht;NN;36
sondern;KON;36
warum;PWAV;36
weg;PTKVZ;36
Welt;NN;36
also;ADV;35
beim;APPRART;35
Blick;NN;35
Dino;NE;35
Fatima;NE;35
musste;VMFIN;35
Opas;NN;35
ruft;VVFIN;35
um;PTKVZ;35
zusammen;PTKVZ;35
Aber;KON;34
gerade;ADV;34
hielt;VVFIN;34
Hier;ADV;34
ihrer;PPOSAT;34
niemals;ADV;34
obwohl;KOUS;34
schnell;ADJD;34
stehen;VVINF;34
Wort;NN;34
beiden;PIAT;33
gewesen;VAPP;33
ihrem;PPOSAT;33
lang;ADJD;33
Leute;NN;33
Menschen;NN;33
später;ADJD;33
stand;VVFIN;33
Arme;NN;32
diesem;PDAT;32
genau;ADJD;32
ging;VVFIN;32
Popović;NE;32
Sead;NE;32
Angst;NN;31
Aus;APPR;31
Eine;ART;31
Frage;NN;31
Kamenko;NE;31
Luft;NN;31
mehr;PIAT;31
Morgen;NN;31
Nase;NN;31
tun;VVINF;31
Walross;NN;31
Wand;NN;31
werden;VAFIN;31
den;PRELS;30
dort;ADV;30
eines;ART;30
erst;ADV;30
gesehen;VVPP;30
mit;PTKVZ;30
Seite;NN;30
sogar;ADV;30
Sonne;NN;30
Tod;NN;30
trägt;VVFIN;30
viel;ADV;30
allein;ADV;29
am;PTKA;29
Erde;NN;29
Fazlagić;NE;29
Hals;NN;29
jedes;PIAT;29
Tor;NN;29
Ur-Opa;NE;29
weg;ADV;29
Weg;NN;29
wer;PWS;29
wusste;VVFIN;29
bis;KOUS;28
Bus;NN;28
Dann;ADV;28
Dorf;NN;28
Familie;NN;28
Fernseher;NN;28
General;NN;28
Hof;NN;28
Jahr;NN;28
kleine;ADJA;28
los;PTKVZ;28
Name;NN;28
Nicht;PTKNEG;28
Ohr;NN;28
Radovan;NE;28
Treppenhaus;NN;28
vier;CARD;28
weit;ADJD;28
zehn;CARD;28
zeigte;VVFIN;28
Am;APPRART;27
Antwort;NN;27
Arm;NN;27
Blumen;NN;27
denn;ADV;27
hatten;VAFIN;27
Hause;NN;27
Ja;PTKANT;27
Jahren;NN;27
können;VMINF;27
Lippen;NN;27
möchte;VMFIN;27
Nähe;NN;27
schwer;ADJD;27
setzt;VVFIN;27
Sohn;NN;27
sonst;ADV;27
stehen;VVFIN;27
unser;PPOSAT;27
damals;ADV;26
Ende;NN;26
erste;ADJA;26
etwas;PIAT;26
fährt;VVFIN;26
Foto;NN;26
hören;VVINF;26
Listen;NN;26
Marija;NE;26
mir;PRF;26
neben;APPR;26
Regen;NN;26
Sarajevo;NE;26
Schuss;NN;26
Staudamm;NN;26
Stein;NN;26
Ufer;NN;26
Uhr;NN;26
Wind;NN;26
bleibt;VVFIN;25
davon;PROAV;25
diese;PDAT;25
dieser;PDAT;25
Eltern;NN;25
Emina;NE;25
Geschichte;NN;25
Hemd;NN;25
nachdem;KOUS;25
Pistole;NN;25
Rafik;NE;25
seit;APPR;25
Stille;NN;25
Ur-Opa;NN;25
alte;ADJA;24
Arbeit;NN;24
Frauen;NN;24
früher;ADJD;24
Garten;NN;24
geworden;VAPP;24
große;ADJA;24
lange;ADV;24
legt;VVFIN;24
Licht;NN;24
ließ;VVFIN;24
links;ADV;24
machen;VVINF;24
Mädchen;NN;24
nächsten;ADJA;24
Niemand;PIS;24
nimmt;VVFIN;24
Platz;NN;24
überhaupt;ADV;24
Als;KOUS;23
alt;ADJD;23
Bilder;NN;23
darf;VMFIN;23
deine;PPOSAT;23
Den;ART;23
